Zipcode,Address,Population,Median Age,Household Income,Per Capita Income,Poverty Rate
44143,"Cleveland, OH 44143, USA",24044,48.5,60265,34714,6.034769589
48191,"Willis, MI 48191, USA",3736,41.8,72204,25659,10.59957173
5301,"Guilford, VT 05301, USA",16819,44.1,49552,28510,13.57393424
82327,"Hanna, WY 82327, USA",792,39.8,34531,22759,25.25252525
55433,"Minneapolis, MN 55433, USA",34024,36.3,59258,27493,9.972372443
84093,"Sandy, UT 84093, USA",23237,41,94938,40837,5.116839523
44313,"Akron, OH 44313, USA",24611,41,48852,31436,14.68042745
58331,"Egeland, ND 58331, USA",116,53.5,69792,51149,1.724137931
38858,"Nettleton, MS 38858, USA",7392,39.1,38586,18655,23.80952381
77336,"Huffman, TX 77336, USA",12022,36,62995,30721,9.632340709
38339,"Guys, TN 38339, USA",574,40.5,44500,21109,26.65505226
5156,"Springfield, VT 05156, USA",9529,43.6,48872,25574,13.62157624
73014,"Calumet, OK 73014, USA",1642,39.8,58264,26515,9.439707674
54120,"Fence, WI 54120, USA",111,53.5,31250,19959,11.71171171
13640,"Wellesley Island, NY 13640, USA",241,62.8,88125,48388,3.734439834
59542,"Turner, MT 59542, USA",262,34,33214,17982,13.74045802
10553,"Mt Vernon, NY 10553, USA",9895,40.7,58514,26137,15.26023244
43758,"Malta, OH 43758, USA",3517,39.5,43438,19770,21.35342622
52320,"Olin, IA 52320, USA",1109,46.6,59167,29853,9.738503156
45646,"Latham, OH 45646, USA",361,41.3,82604,28220,7.202216066
36688,"Mobile, AL 36688, USA",545,20.1,,3086,0
74456,"Preston, OK 74456, USA",231,30.6,27750,16345,23.37662338
59802,"Missoula, MT 59802, USA",19292,33,37931,25060,22.29939871
25571,"West Hamlin, WV 25571, USA",2371,43.7,36650,16769,26.40236187
56358,"Ogilvie, MN 56358, USA",3353,41.2,49091,20779,13.9874739
6069,"Sharon, CT 06069, USA",2440,57,73958,54815,6.557377049
15206,"Pittsburgh, PA 15206, USA",29098,36.6,33792,27733,20.10103787
33496,"Boca Raton, FL 33496, USA",22354,54.2,83138,64715,7.935939877
37764,"Kodak, TN 37764, USA",9241,41.1,46102,22642,15.56108646
61013,"Cedarville, IL 61013, USA",488,50.2,55000,27283,11.2704918
15937,"Jerome, PA 15937, USA",601,45.7,65000,24503,5.158069884
27249,"Gibsonville, NC 27249, USA",12596,42.1,50095,25651,10.86852969
76556,"Milano, TX 76556, USA",1392,50.7,39375,21201,17.52873563
46236,"Indianapolis, IN 46236, USA",27509,40.3,80833,38140,4.74753717
29170,"West Columbia, SC 29170, USA",21101,36.8,56415,25261,9.824178949
49893,"Wallace, MI 49893, USA",2008,47.9,59696,27882,8.964143426
63014,"Berger, MO 63014, USA",467,48.4,32188,19712,22.48394004
79021,"Cotton Center, TX 79021, USA",104,26.5,56250,17961,25.96153846
44251,"Westfield Center, OH 44251, USA",905,52.6,73021,47881,0.552486188
79118,"Amarillo, TX 79118, USA",20026,34.6,62323,25783,11.9544592
46704,"Arcola, IN 46704, USA",194,35.4,31089,13796,6.18556701
93605,"Big Creek, CA 93605, USA",243,49.2,84375,34293,1.646090535
22066,"Great Falls, VA 22066, USA",19475,43.5,214219,89776,1.201540436
43804,"Baltic, OH 43804, USA",3750,25.4,36841,12923,28.85333333
78414,"Corpus Christi, TX 78414, USA",33033,34,75971,33464,5.542941907
71405,"Ball, LA 71405, USA",5687,35.8,55242,23941,15.73764727
11385,"Ridgewood, NY 11385, USA",99379,35,50799,23272,18.03298484
83830,"Fernwood, ID 83830, USA",929,42.7,37244,16450,8.934337998
12010,"Amsterdam, NY 12010, USA",28802,41.7,44256,25059,17.6098882
37191,"Woodlawn, TN 37191, USA",4226,39.3,63393,28185,7.311878845
72039,"Damascus, AR 72039, USA",2402,40.8,33857,19838,22.98084929
96783,"Pepeekeo, HI 96783, USA",2149,40.4,31705,17613,21.77757096
57658,"Wakpala, SD 57658, USA",329,33.5,15833,7979,55.31914894
73673,"Willow, OK 73673, USA",352,53.6,40234,26554,16.19318182
63935,"Doniphan, MO 63935, USA",9863,42.5,31208,16144,27.92253878
73951,"Tyrone, OK 73951, USA",1085,28.7,43125,16762,22.94930876
49036,"Coldwater, MI 49036, USA",23706,41.6,42635,21336,14.79794145
47434,"Harrodsburg, IN 47434, USA",115,52.5,,21634,0
37336,"Georgetown, TN 37336, USA",4864,44.4,48066,22370,14.76151316
86507,"Lukachukai, AZ 86507, USA",2464,24.1,22009,8346,48.29545455
54022,"River Falls, WI 54022, USA",21786,28.8,60016,27608,14.18801065
75454,"Melissa, TX 75454, USA",5800,31.7,87125,29919,3.310344828
38152,"Memphis, TN 38152, USA",818,19.8,,2691,0
82934,"Granger, WY 82934, USA",239,33.1,32450,13016,7.112970711
28529,"Grantsboro, NC 28529, USA",2653,45.1,41858,20985,16.50961176
74643,"Lamont, OK 74643, USA",453,39.5,43214,22991,8.167770419
2056,"Norfolk, MA 02056, USA",11274,42.5,134104,43630,4.479332979
52533,"Batavia, IA 52533, USA",1626,42.6,49938,21050,7.626076261
45005,"Franklin, OH 45005, USA",29997,40.5,52016,24292,9.850985099
97146,"Warrenton, OR 97146, USA",5795,40.1,41192,23133,17.01466782
17946,"Lost Creek, PA 17946, USA",215,62.1,15469,10440,59.53488372
95240,"Lodi, CA 95240, USA",46482,33.1,41172,19814,22.97233338
53156,"Palmyra, WI 53156, USA",3054,42.4,53600,25161,9.790438769
46323,"Hammond, IN 46323, USA",22561,34.6,45478,19994,14.4009574
36858,"Hatchechubbee, AL 36858, USA",540,37.4,71563,25395,2.407407407
99506,"Joint Base Elmendorf-Richardson, AK 99506, USA",7499,22,60753,19565,4.867315642
50002,"Adair, IA 50002, USA",1338,41.3,40550,23974,15.3961136
15656,"Leechburg, PA 15656, USA",10208,43.9,47658,25820,12.27468652
49781,"St Ignace, MI 49781, USA",4303,44.2,39838,23000,15.26841738
46524,"Etna Green, IN 46524, USA",2541,32,60033,19849,13.34120425
31405,"Savannah, GA 31405, USA",37016,34.6,43051,23719,18.3623298
42031,"Clinton, KY 42031, USA",3251,49.1,32123,18442,24.17717625
71331,"Effie, LA 71331, USA",841,34.3,37109,18372,24.61355529
21750,"Hancock, MD 21750, USA",3999,38.6,47857,21608,11.10277569
8234,"Egg Harbor Township, NJ 08234, USA",42491,39.3,71316,29387,8.020521993
25699,"Wilsondale, WV 25699, USA",119,42,11875,6104,89.91596639
55342,"Hector, MN 55342, USA",2065,42.2,55982,26832,7.89346247
63128,"St. Louis, MO 63128, USA",29973,49.1,73440,39328,3.416408101
10984,"Thiells, NY 10984, USA",3317,42.5,112016,39093,0.452215858
57219,"Bristol, SD 57219, USA",727,50.1,57574,22913,5.777166437
44276,"Sterling, OH 44276, USA",1879,40.2,52330,24753,13.51782863
2740,"New Bedford, MA 02740, USA",43308,37.4,34259,20649,24.51510114
78742,"Austin, TX 78742, USA",810,33.6,19688,15485,50.86419753
76031,"Cleburne, TX 76031, USA",17360,36.1,46714,20226,15.69700461
57005,"Brandon, SD 57005, USA",10610,34.6,69690,27832,7.80395853
84116,"Salt Lake City, UT 84116, USA",33574,29.2,42235,15888,21.27241318
62330,"Dallas City, IL 62330, USA",1852,39.5,39271,20130,14.63282937
49415,"Fruitport, MI 49415, USA",6260,44.3,51587,26853,6.757188498
59453,"Judith Gap, MT 59453, USA",337,42.4,38750,20918,10.08902077
5261,"Pownal, VT 05261, USA",2835,45,56667,25144,10.26455026
19023,"Darby, PA 19023, USA",22710,30.2,38790,18351,24.02025539
5736,"Center Rutland, VT 05736, USA",788,48.4,56313,36613,0.76142132
84072,"Tabiona, UT 84072, USA",529,30.3,48654,18735,0.756143667
38844,"Gattman, MS 38844, USA",153,58.9,36071,20537,16.99346405
27822,"Elm City, NC 27822, USA",8082,43.6,46250,21943,18.70824053
37080,"Joelton, TN 37080, USA",7962,44.3,61824,25231,8.013062045
92310,"Fort Irwin, CA 92310, USA",9049,22.7,49778,19066,7.768814234
26807,"Franklin, WV 26807, USA",2886,45.6,36550,20860,18.19126819
75783,"Quitman, TX 75783, USA",7486,45.1,40322,23210,12.03580016
19057,"Levittown, PA 19057, USA",18171,38,62863,25069,9.515161521
23219,"Richmond, VA 23219, USA",3284,25.4,19231,24403,38.79415347
30666,"Statham, GA 30666, USA",9287,37.3,53627,23167,8.301927425
53936,"Grand Marsh, WI 53936, USA",2555,37.3,44583,13364,5.596868885
83638,"McCall, ID 83638, USA",5876,43.3,53850,26119,6.262763785
68947,"Hildreth, NE 68947, USA",622,45.5,56250,33158,5.78778135
25559,"Salt Rock, WV 25559, USA",2105,41.9,55120,22464,11.11638955
99102,"Albion, WA 99102, USA",519,35.4,43977,23766,11.75337187
63304,"St Charles, MO 63304, USA",40094,39.8,85329,35568,4.337307328
13637,"Evans Mills, NY 13637, USA",4270,28.4,55104,23870,18.64168618
44147,"Broadview Heights, OH 44147, USA",19331,42.1,76021,37217,6.533547152
47367,"Oakville, IN 47367, USA",123,39.8,41250,16255,0
71957,"Mt Ida, AR 71957, USA",3004,54.9,35445,21459,16.67776298
55802,"Duluth, MN 55802, USA",2212,59.5,24674,31860,25.36166365
21053,"Freeland, MD 21053, USA",3227,45.5,90361,36118,3.811589712
28076,"Henrietta, NC 28076, USA",1060,30,25221,9871,52.45283019
53588,"Spring Green, WI 53588, USA",3831,44.8,58086,29862,9.814669799
49234,"Clarklake, MI 49234, USA",2665,47.3,58250,30245,16.62288931
92285,"Landers, CA 92285, USA",2739,50.1,22917,17840,37.60496532
7082,"Towaco, NJ 07082, USA",5107,45.9,129432,59216,3.309183474
49098,"Watervliet, MI 49098, USA",6388,37,42237,18480,21.08641202
63138,"St. Louis, MO 63138, USA",20863,30.3,33691,17488,25.58596559
75942,"Doucette, TX 75942, USA",289,38.1,43512,15008,26.29757785
2802,"Albion, RI 02802, USA",919,37.2,48456,42134,0
95490,"Willits, CA 95490, USA",12158,46.9,38394,22551,19.46866261
71340,"Harrisonburg, LA 71340, USA",1612,33.7,30560,19909,8.498759305
60622,"Chicago, IL 60622, USA",54272,31.1,68923,43393,14.77557488
28454,"Maple Hill, NC 28454, USA",1813,42.6,20711,13553,27.854385
58503,"Bismarck, ND 58503, USA",27196,37.3,81341,38377,4.416090602
33025,"Hollywood, FL 33025, USA",57766,32.9,51822,23660,12.01398747
87583,"Villanueva, NM 87583, USA",115,60.4,4955,5947,63.47826087
43050,"Mt Vernon, OH 43050, USA",28612,41.9,42576,23495,16.33230812
25414,"Charles Town, WV 25414, USA",17147,40.1,72833,32308,11.13897475
7718,"Belford, NJ 07718, USA",6143,40.5,87398,36267,6.82077161
46996,"Winamac, IN 46996, USA",7358,40.1,45412,20784,16.5941832
57078,"Yankton, SD 57078, USA",18894,40.7,50660,27293,12.96178681
56726,"Greenbush, MN 56726, USA",1582,42.2,52235,27445,5.752212389
52133,"Castalia, IA 52133, USA",625,40.3,66333,26065,5.28
6019,"Canton, CT 06019, USA",10249,45.1,88281,44781,3.766221095
93545,"Lone Pine, CA 93545, USA",2214,40.6,32473,18444,18.06684734
97711,"Ashwood, OR 97711, USA",123,34.5,27188,12480,41.46341463
3064,"Nashua, NH 03064, USA",14533,40.6,64026,34045,11.64934976
8540,"Princeton, NJ 08540, USA",47316,37.5,125439,61810,4.161383042
60091,"Wilmette, IL 60091, USA",27268,43.8,129551,67089,2.977849494
61929,"Hammond, IL 61929, USA",652,45.7,47891,23964,5.214723926
92252,"Joshua Tree, CA 92252, USA",10047,45,42338,22951,18.77177267
22102,"McLean, VA 22102, USA",22146,40.2,112427,82461,3.720762214
13827,"Owego, NY 13827, USA",11795,44.2,56025,28315,8.71555744
757,"Santa Isabel, 00757, Puerto Rico",23231,34.3,18033,9412,48.99487753
68147,"Bellevue, NE 68147, USA",10339,33,53997,22024,17.55488925
27826,"Fairfield, NC 27826, USA",963,49.4,38362,16651,16.61474559
63951,"Lowndes, MO 63951, USA",219,48.8,47768,20417,25.11415525
3077,"Raymond, NH 03077, USA",10218,39.5,61488,27774,6.517909571
76599,"Gatesville, TX 76599, USA",1480,35,,8815,0
38870,"Smithville, MS 38870, USA",2559,40.8,53443,22094,7.463853068
13312,"Brantingham, NY 13312, USA",320,56.1,41250,30699,14.6875
21901,"North East, MD 21901, USA",16786,37.3,65951,29821,12.21255808
30120,"Cartersville, GA 30120, USA",37250,35.9,44141,20678,19.53288591
34209,"Bradenton, FL 34209, USA",33008,54.1,51572,28711,9.294716432
22027,"Dunn Loring, VA 22027, USA",2567,44.9,187768,61580,4.830541488
27262,"High Point, NC 27262, USA",24635,38.5,39867,22889,21.29490562
93428,"Cambria, CA 93428, USA",6393,58.4,59813,40682,7.961833255
47431,"Freedom, IN 47431, USA",1268,35.6,37500,19556,31.23028391
28782,"Tryon, NC 28782, USA",6662,56.9,46713,28377,8.015610928
59743,"Melrose, MT 59743, USA",159,57.4,39293,27250,20.12578616
12941,"Jay, NY 12941, USA",1374,44.6,72361,40100,8.806404658
85262,"Scottsdale, AZ 85262, USA",11034,54.4,125884,80227,2.872938191
33614,"Tampa, FL 33614, USA",48125,35.5,35098,18039,23.22701299
56371,"Roscoe, MN 56371, USA",132,52.1,51250,26395,4.545454545
55419,"Minneapolis, MN 55419, USA",26808,36.8,94177,49251,8.075947478
72007,"Austin, AR 72007, USA",6065,34.7,53125,21845,9.200329761
48221,"Detroit, MI 48221, USA",39455,39.6,38588,20123,23.49005196
49639,"Hersey, MI 49639, USA",2617,40.7,41570,17687,14.97898357
57429,"Brentford, SD 57429, USA",109,36.1,40000,20763,2.752293578
46617,"South Bend, IN 46617, USA",9947,33,48726,27706,21.40343822
41763,"Slemp, KY 41763, USA",645,41.6,36827,16535,17.98449612
47232,"Elizabethtown, IN 47232, USA",3280,37.4,60128,21838,13.35365854
23055,"Fork Union, VA 23055, USA",936,48,59648,21737,1.388888889
50433,"Dougherty, IA 50433, USA",206,45.4,55781,41122,3.883495146
18237,"McAdoo, PA 18237, USA",3848,39.1,42140,20172,11.9022869
49048,"Kalamazoo, MI 49048, USA",25434,34.9,41443,20479,24.02296139
57725,"Caputa, SD 57725, USA",110,66.6,57841,21549,16.36363636
32409,"Panama City, FL 32409, USA",8635,41.4,50461,24300,13.59583092
57315,"Avon, SD 57315, USA",1141,40.3,44813,21359,16.38913234
27288,"Eden, NC 27288, USA",23445,42.5,33800,18470,22.38430369
98591,"Toledo, WA 98591, USA",3837,49,50488,24795,10.50299713
12804,"Queensbury, NY 12804, USA",26308,44.6,60152,32970,9.14550707
18473,"White Mills, PA 18473, USA",432,41.8,50052,27326,19.90740741
92392,"Victorville, CA 92392, USA",54557,27.9,58667,19090,19.85446414
68930,"Blue Hill, NE 68930, USA",1430,44.7,44643,22939,11.11888112
66052,"Linwood, KS 66052, USA",2021,42.8,57848,27076,6.82830282
4010,"Brownfield, ME 04010, USA",1336,47.6,45592,25609,10.62874251
41073,"Bellevue, KY 41073, USA",5810,37.7,53396,26881,9.432013769
98362,"Port Angeles, WA 98362, USA",22052,47.5,43827,25914,14.38871758
25165,"Racine, WV 25165, USA",451,41.1,49886,24418,9.312638581
56453,"Hewitt, MN 56453, USA",855,41,50089,21875,12.86549708
24137,"Penhook, VA 24137, USA",2893,46.3,54979,30491,11.61424127
66507,"Maple Hill, KS 66507, USA",1237,31.8,67500,23114,2.425222312
49874,"Powers, MI 49874, USA",1208,46.9,35729,19398,15.64569536
59752,"Three Forks, MT 59752, USA",3236,44,51176,25177,8.683559951
37923,"Knoxville, TN 37923, USA",27624,37,53893,30167,11.23298581
44305,"Akron, OH 44305, USA",21899,37.6,36944,18868,23.43486004
23602,"Newport News, VA 23602, USA",39925,36.7,61343,30030,10.43456481
23440,"Tangier, VA 23440, USA",483,55.7,40833,20990,21.32505176
22834,"Linville, VA 22834, USA",1092,38.6,40357,30224,8.882783883
79416,"Lubbock, TX 79416, USA",32772,26.2,45937,23645,19.80349078
49616,"Benzonia, MI 49616, USA",1884,45.7,39145,18568,17.78131635
25431,"Levels, WV 25431, USA",219,50.5,31161,21822,12.32876712
40769,"Williamsburg, KY 40769, USA",18135,36.9,27221,14298,27.19602978
69130,"Cozad, NE 69130, USA",5411,41.6,46899,21825,12.84420625
92843,"Garden Grove, CA 92843, USA",44351,33.3,51991,17186,20.31972222
98051,"Ravensdale, WA 98051, USA",3852,42.3,77623,32555,6.464174455
48468,"Port Hope, MI 48468, USA",1440,55.2,38882,22710,13.05555556
10007,"New York, NY 10007, USA",6525,34,216037,157713,2.206896552
90302,"Inglewood, CA 90302, USA",30502,32.4,43042,21718,18.77253951
38487,"Williamsport, TN 38487, USA",762,41.6,38125,18884,24.40944882
13635,"Edwards, NY 13635, USA",837,46,33194,21320,17.68219833
97229,"Portland, OR 97229, USA",59983,37.8,100063,44657,4.851374556
2382,"Whitman, MA 02382, USA",14567,39.1,72462,32541,7.736665065
7606,"South Hackensack, NJ 07606, USA",2371,39.4,68750,33300,4.555040067
50543,"Gowrie, IA 50543, USA",1562,44.5,44583,23616,15.87708067
14033,"Colden, NY 14033, USA",2170,44.3,81979,32764,6.728110599
13495,"Yorkville, NY 13495, USA",2168,38.4,48576,24413,9.086715867
12723,"Callicoon, NY 12723, USA",2196,43.2,58102,25249,11.70309654
28349,"Kenansville, NC 28349, USA",4277,38.3,39057,15572,17.9331307
97396,"Willamina, OR 97396, USA",2827,44.3,36848,18929,16.94375663
42025,"Benton, KY 42025, USA",19744,43.2,42310,21348,11.51742301
53118,"Dousman, WI 53118, USA",7248,46.9,81619,38393,3.214679912
55060,"Owatonna, MN 55060, USA",28884,39.4,54945,27727,10.4313807
71825,"Blevins, AR 71825, USA",686,32.6,35625,13098,36.1516035
71353,"Melville, LA 71353, USA",1646,43.4,26719,19660,36.39125152
50525,"Clarion, IA 50525, USA",3491,42.2,39200,25499,16.06989401
57021,"Davis, SD 57021, USA",395,34.5,81875,28762,2.784810127
12831,"Gansevoort, NY 12831, USA",17644,40.3,71393,33481,3.882339606
25442,"Shenandoah Junction, WV 25442, USA",1734,35,73949,31249,6.978085352
28395,"Wade, NC 28395, USA",1953,39.5,39813,23319,18.02355351
3448,"Gilsum, NH 03448, USA",662,50.8,45417,26556,12.08459215
66088,"Valley Falls, KS 66088, USA",2579,42.8,50667,25268,7.98759209
49411,"Free Soil, MI 49411, USA",1523,47.1,44450,25531,13.59159554
79705,"Midland, TX 79705, USA",32784,36.8,68649,38947,8.906783797
74066,"Sapulpa, OK 74066, USA",31116,38.9,44675,22844,13.51716159
41046,"Glencoe, KY 41046, USA",1991,24,37585,13209,27.22250126
7724,"Eatontown, NJ 07724, USA",21758,41.7,78064,39958,6.135674235
41649,"Martin, KY 41649, USA",3004,41.4,25458,15356,28.36218375
55435,"Minneapolis, MN 55435, USA",12286,46.9,56213,47347,3.898746541
13402,"Madison, NY 13402, USA",1587,46.4,43387,19660,22.0541903
8324,"Heislerville, NJ 08324, USA",670,42.5,67772,28069,14.47761194
3276,"Tilton, NH 03276, USA",8394,41.9,58449,25690,13.17607815
69163,"Stapleton, NE 69163, USA",828,50.4,45481,25348,13.4057971
64480,"Rea, MO 64480, USA",325,57.5,65000,34670,11.69230769
90210,"Beverly Hills, CA 90210, USA",21548,46.4,132254,111364,7.420642287
72401,"Jonesboro, AR 72401, USA",55197,31.6,34819,20130,26.8456619
41540,"Lick Creek, KY 41540, USA",235,40.2,62672,24235,9.787234043
57568,"Presho, SD 57568, USA",647,45.2,51700,28055,7.882534776
29113,"Norway, SC 29113, USA",2176,32.1,36875,13381,24.31066176
25401,"Martinsburg, WV 25401, USA",14987,34.7,36600,21158,27.20357643
13326,"Cooperstown, NY 13326, USA",5456,50.4,57375,35094,8.431085044
61604,"Peoria, IL 61604, USA",31427,36.8,40630,21137,21.60880771
32535,"Century, FL 32535, USA",6015,37.8,34107,13066,14.28096426
3048,"Greenville, NH 03048, USA",3513,43.6,62321,28864,11.07315685
55976,"Stewartville, MN 55976, USA",7480,37.5,53616,26641,6.99197861
23665,"Hampton, VA 23665, USA",5593,22.2,52313,18789,3.969247273
28226,"Charlotte, NC 28226, USA",37412,41.1,68291,48777,6.388324602
76310,"Wichita Falls, TX 76310, USA",18492,37.2,63646,27924,10.19900498
12456,"Mt Marion, NY 12456, USA",707,37.5,48993,17639,2.121640736
73743,"Hillsdale, OK 73743, USA",132,42.5,50000,24770,7.575757576
2169,"Quincy, MA 02169, USA",55064,38.1,58669,32613,10.54227808
23228,"Henrico, VA 23228, USA",33844,35.1,44224,23998,15.56258126
35907,"Gadsden, AL 35907, USA",8339,40.7,70147,26791,5.144501739
8859,"Parlin, NJ 08859, USA",21594,38.9,79835,35353,6.075761786
64639,"De Witt, MO 64639, USA",257,48.9,57917,25446,4.280155642
18914,"Chalfont, PA 18914, USA",21694,39.4,101522,40247,2.696598138
11693,"Far Rockaway, NY 11693, USA",11335,39.1,50570,25149,21.44684605
58494,"Wing, ND 58494, USA",357,42.2,48500,29216,5.602240896
62025,"Edwardsville, IL 62025, USA",33736,35.2,72877,34115,9.097106948
64625,"Breckenridge, MO 64625, USA",549,43.7,36250,20795,17.12204007
17737,"Hughesville, PA 17737, USA",5881,42.3,51007,24229,13.1100153
58466,"Marion, ND 58466, USA",509,44.5,69844,36981,9.430255403
45897,"Williamstown, OH 45897, USA",155,45.3,,8999,50.96774194
20143,"Catharpin, VA 20143, USA",1081,42.8,139938,51051,2.405180389
22642,"Linden, VA 22642, USA",3912,37.1,76198,28685,10.60838446
